"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5970","launch store","firefox","Fri Jun 06 20:40:59 IST 2025","passed","Fri Jun 06 20:41:05 IST 2025","","launchstore.spec.js","",""
"","18517","bootstrap dropdown","chromium","Mon May 26 17:06:06 IST 2025","passed","Mon May 26 17:06:25 IST 2025","","bootstrapdropdown.spec.js","",""
"","670","test1","chromium","Fri Jun 06 13:49:17 IST 2025","passed","Fri Jun 06 13:49:18 IST 2025","","tag.spec.js","",""
"","8507","video record","chromium","Mon Jun 02 18:25:42 IST 2025","passed","Mon Jun 02 18:25:51 IST 2025","","record.spec.js","",""
"","718","test4@reg","Google Chrome","Tue Jun 03 09:28:34 IST 2025","passed","Tue Jun 03 09:28:34 IST 2025","","tags.spec.js","",""
"","1391","test4 @reg","webkit","Tue Jun 03 22:00:31 IST 2025","passed","Tue Jun 03 22:00:33 IST 2025","","tag.spec.js","",""
"","4925","hooks concept","Google Chrome","Mon Jun 02 14:38:28 IST 2025","passed","Mon Jun 02 14:38:33 IST 2025","","hooks2.spec.js","",""
"","14245","dialogs conformation alert accepted","chromium","Thu May 29 19:56:17 IST 2025","passed","Thu May 29 19:56:31 IST 2025","","alerts.spec.js","",""
"","4888","test","chromium","Thu May 08 19:44:56 IST 2025","failed","Thu May 08 19:45:01 IST 2025","","mytest.spec.js","",""
"","14993","handle radio buttons","chromium","Thu May 08 19:44:39 IST 2025","passed","Thu May 08 19:44:54 IST 2025","","handleradiobutton.spec.js","",""
"","15723","location builtin","chromium","Thu May 08 19:44:49 IST 2025","failed","Thu May 08 19:45:04 IST 2025","","locator_builtin.spec.js","",""
"","16274","multiple files upload","Google Chrome","Mon Jun 02 12:39:57 IST 2025","passed","Mon Jun 02 12:40:13 IST 2025","","uploadfiles.spec.js","",""
"","789","test4","Google Chrome","Mon Jun 02 15:54:01 IST 2025","passed","Mon Jun 02 15:54:02 IST 2025","group2","grouping.spec.js","",""
"","9","hover the mouse curser","Google Chrome","Sat May 31 21:01:56 IST 2025","skipped","Sat May 31 21:01:56 IST 2025","","mouseover.spec.js","",""
"","11318","login","Google Chrome","Mon Jun 02 23:19:04 IST 2025","passed","Mon Jun 02 23:19:16 IST 2025","","record.spec.js","",""
"","149","list of product hooks concept","chromium","Fri Jun 06 19:23:45 IST 2025","passed","Fri Jun 06 19:23:45 IST 2025","","hooks1.spec.js","",""
"","4325","has title","chromium","Thu Jun 05 17:34:21 IST 2025","passed","Thu Jun 05 17:34:25 IST 2025","","example.spec.js","",""
"","743","test3","Google Chrome","Mon Jun 02 15:54:00 IST 2025","passed","Mon Jun 02 15:54:01 IST 2025","group2","grouping.spec.js","",""
"","1114","test3 @reg","chromium","Fri Jun 06 13:48:33 IST 2025","passed","Fri Jun 06 13:48:34 IST 2025","","tag.spec.js","",""
"","23767","handiling web table","chromium","Fri May 30 19:19:11 IST 2025","passed","Fri May 30 19:19:35 IST 2025","","webtable.spec.js","",""
"","6796","multiple selection","chromium","Sat May 10 15:37:48 IST 2025","passed","Sat May 10 15:37:55 IST 2025","","multiselector.spec.js","",""
"","412","test4","chromium","Tue Jun 03 11:19:07 IST 2025","skipped","Tue Jun 03 11:19:07 IST 2025","","annotation.spec.js","",""
"","5176","test1","firefox","Tue Jun 03 22:00:24 IST 2025","passed","Tue Jun 03 22:00:29 IST 2025","","tag.spec.js","",""
"","9846","nested iframes","chromium","Fri May 30 11:47:32 IST 2025","passed","Fri May 30 11:47:42 IST 2025","","nestedframe.spec.js","",""
"","15947","date picker","chromium","Fri May 30 21:17:39 IST 2025","passed","Fri May 30 21:17:55 IST 2025","","datepicker.spec.js","",""
"","15570","pom login","Google Chrome","Fri Jun 06 21:12:57 IST 2025","passed","Fri Jun 06 21:13:12 IST 2025","","pomtest.spec.js","",""
"","439","test2@sanity","chromium","Tue Jun 03 09:43:47 IST 2025","passed","Tue Jun 03 09:43:48 IST 2025","","tag.spec.js","",""
"","10441","basic auth tech","chromium","Wed Jun 04 12:02:12 IST 2025","passed","Wed Jun 04 12:02:23 IST 2025","","basicauth.spec.js","",""
"","6312","add product hooks concept","Google Chrome","Mon Jun 02 14:38:33 IST 2025","passed","Mon Jun 02 14:38:40 IST 2025","","hooks2.spec.js","",""
"","1760","test5 @sanity @reg","webkit","Tue Jun 03 22:00:33 IST 2025","passed","Tue Jun 03 22:00:34 IST 2025","","tag.spec.js","",""
"","768","test4","Google Chrome","Mon Jun 02 15:42:53 IST 2025","passed","Mon Jun 02 15:42:53 IST 2025","","grouping.spec.js","",""
"","3487","test1","webkit","Tue Jun 03 22:00:24 IST 2025","passed","Tue Jun 03 22:00:27 IST 2025","","tag.spec.js","",""
"","2900","test2 @sanity","Google Chrome","Fri Jun 06 14:20:43 IST 2025","passed","Fri Jun 06 14:20:46 IST 2025","","tag.spec.js","",""
"","17071","multiple handle pages","Google Chrome","Tue Jun 03 20:33:14 IST 2025","passed","Tue Jun 03 20:33:31 IST 2025","","pages.spec.js","",""
"","6223","locator","chromium","Thu May 08 19:44:53 IST 2025","failed","Thu May 08 19:44:59 IST 2025","","locators.spec.js","",""
"","3929","add product hooks concept","Google Chrome","Mon Jun 02 14:53:34 IST 2025","passed","Mon Jun 02 14:53:38 IST 2025","","hooks1.spec.js","",""
"","19816","handle dropdown","chromium","Mon May 26 17:06:06 IST 2025","passed","Mon May 26 17:06:26 IST 2025","","dropdown.spec.js","",""
"","2722","test3","webkit","Tue Jun 03 11:06:43 IST 2025","failed","Tue Jun 03 11:06:45 IST 2025","","annotation.spec.js","",""
"","808","test3@reg","Google Chrome","Tue Jun 03 09:28:33 IST 2025","passed","Tue Jun 03 09:28:34 IST 2025","","tags.spec.js","",""
"","9719","dialogs conformation alert","chromium","Thu May 29 19:39:27 IST 2025","failed","Thu May 29 19:39:37 IST 2025","","alerts.spec.js","",""
"","13004","input radio & check button","chromium","Thu May 08 19:44:39 IST 2025","passed","Thu May 08 19:44:52 IST 2025","","inputbox.spec.js","",""
"","788","test5@sanity@reg","Google Chrome","Tue Jun 03 09:28:34 IST 2025","passed","Tue Jun 03 09:28:35 IST 2025","","tags.spec.js","",""
"","1038","test3 @reg","Google Chrome","Tue Jun 03 22:00:27 IST 2025","passed","Tue Jun 03 22:00:28 IST 2025","","tag.spec.js","",""
"","16911","multiple handle pages","firefox","Tue Jun 03 20:33:14 IST 2025","passed","Tue Jun 03 20:33:31 IST 2025","","pages.spec.js","",""
"","13065","dialogs alert","chromium","Thu May 29 19:56:17 IST 2025","passed","Thu May 29 19:56:30 IST 2025","","alerts.spec.js","",""
"","5389","get started link","chromium","Thu Jun 05 17:34:21 IST 2025","passed","Thu Jun 05 17:34:26 IST 2025","","example.spec.js","",""
"","25233","autosugession dropdown","chromium","Thu May 29 18:49:08 IST 2025","passed","Thu May 29 18:49:33 IST 2025","","autosugessdropdown.spec.js","",""
"","1621","soft assertion","chromium","Thu May 08 19:45:02 IST 2025","failed","Thu May 08 19:45:04 IST 2025","","softassertion.spec.js","",""
"","914","test3","Google Chrome","Mon Jun 02 15:42:52 IST 2025","passed","Mon Jun 02 15:42:53 IST 2025","","grouping.spec.js","",""
"","9712","another way to basic auth","chromium","Wed Jun 04 12:05:15 IST 2025","passed","Wed Jun 04 12:05:24 IST 2025","","basicauth.spec.js","",""
"","12579","allcitylist dropdown","chromium","Thu May 29 18:49:08 IST 2025","passed","Thu May 29 18:49:20 IST 2025","","autosugessdropdown.spec.js","",""
"","29182","single file upload","Google Chrome","Mon Jun 02 12:27:55 IST 2025","passed","Mon Jun 02 12:28:25 IST 2025","","uploadfiles.spec.js","",""
"","833","test1@sanity","chromium","Tue Jun 03 09:43:40 IST 2025","passed","Tue Jun 03 09:43:40 IST 2025","","tag.spec.js","",""
"","12920","list to select","chromium","Mon May 26 17:06:06 IST 2025","passed","Mon May 26 17:06:19 IST 2025","","dropdown.spec.js","",""
"","8204","hooks concept","Google Chrome","Mon Jun 02 13:24:04 IST 2025","passed","Mon Jun 02 13:24:12 IST 2025","","hooks.spec.js","",""
"","415","test3","chromium","Tue Jun 03 11:10:47 IST 2025","passed","Tue Jun 03 11:10:47 IST 2025","","annotation.spec.js","",""
"","2016","test3","Google Chrome","Tue Jun 03 11:06:43 IST 2025","failed","Tue Jun 03 11:06:45 IST 2025","","annotation.spec.js","",""
"","2682","test5 @sanity","Google Chrome","Fri Jun 06 14:20:46 IST 2025","passed","Fri Jun 06 14:20:49 IST 2025","","tag.spec.js","",""
"","16304","test login","Google Chrome","Mon Jun 02 23:40:17 IST 2025","passed","Mon Jun 02 23:40:33 IST 2025","","tracing.spec.js","",""
"","7018","add product hooks concept","chromium","Fri Jun 06 16:55:54 IST 2025","passed","Fri Jun 06 16:56:01 IST 2025","","hooks2.spec.js","",""
"","2852","config screenshot","Google Chrome","Mon Jun 02 17:10:44 IST 2025","passed","Mon Jun 02 17:10:47 IST 2025","","screenshot2.spec.js","",""
"","14154","multiple handle pages","chromium","Tue Jun 03 20:33:14 IST 2025","passed","Tue Jun 03 20:33:28 IST 2025","","pages.spec.js","",""
"","0","date picker 3","chromium","Sat May 31 16:38:52 IST 2025","skipped","Sat May 31 16:38:52 IST 2025","","datepicker.spec.js","",""
